lyric,line,album,track_n,song_name,album_year
yeah,1,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
so i guess this is what it is  huh ,2,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
think it obvious,3,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
we aint never going to see eye to eye,4,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but it funny,5,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
as much as i hate you,6,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i need you,7,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
this is music to be murdered by,8,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said my last album i sounded bitter,9,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
no  i sound like a spitter,10,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
who ninety percent of,11,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
these hypocrites are tryna get rid of,12,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but why would i get a chip on my shoulder ,13,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i was considered  one time  as the illest,14,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
bitch  i am still as fly as your zipper,15,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
true  i just get richer,16,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but if it was ever all about skrilla,17,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
then i woulda quit a long motherfucking time ago,18,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
bitch  shut the fuck up,19,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i should go say that shit to tech n9ne or to jigga,20,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
nobody said shit about 2 chainz as long as he been here  shit,21,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
no wonder you are mad  now i am,22,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
looking at them plaques  count them  yeah ,23,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i am ll cool j  bigger and deffer  that how come  uh ,24,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i sell like four mil  when i put out a bad album  what  ,25,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
revival flopped  came back and i scared the crap out them,26,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but rolling stone stars  i get two and a half outta,27,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
five  and i will laugh out loud,28,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
 cause that what they gave bad back in the day,29,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
which actually made me not feel as bad now   cause,30,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
if it happened to james,31,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
it can happen to shady,32,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they do the same shit to brady,33,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
more people hate me than love me,34,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
this game will make you go crazy,35,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
 bout to go for b r o k e,36,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i was the g  the o a t,37,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
once i was played in rotation,38,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
at every radio station,39,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said i am lyrically amazing,40,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but i have nothing to say,41,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but then when i put out revival and i had something to say,42,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said that they hated the awake me,43,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i lose the rage  i am too tame,44,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i get it back  they say i am too angry,45,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i need to get me some dre beats,46,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
no  i should hook up with tay keith,47,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
fans keep on pulling me one way,48,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
haters pull me in another,49,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
got more hooks in me than swae lee,50,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
 bout to pick up some weights and lift  til my tattoo of hailie face stretches,51,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said i am just a whiner  i sound like a baby,52,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i dish it out but cannot take it,53,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but i take it  dish it back out,54,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
and they get all bent out of shape,55,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
this shit almost comical,56,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
wait  and i meant no disrespect,57,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i was not dissing  tech  that was not a shot at 2 chainz or to jay z,58,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they probably feel the same way because lately,59,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
instead of us being credited for longevity,60,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
and being able to keep it up for this long at this level  we,61,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
get told we will never be what we were,62,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
bitch  if i was as half as good as i was,63,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i am still twice as good as you will ever be,64,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
only way that you are ahead of me alphabetically,65,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
 cause if you diss me i am coming after you like the letter v,66,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
killing everything  play this tune  it your eulogy,67,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
it your funeral  prepare to die,68,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
this is music for you to be murdered by,69,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
oh  this what we doin   alright,1,Music To Be Murdered By,2,Unaccommodating,2020-01-17
m a,2,Music To Be Murdered By,2,Unaccommodating,2020-01-17
game over  thanos on you h o,3,Music To Be Murdered By,2,Unaccommodating,2020-01-17
on my petty shit but i do not paint toes  yeah ,4,Music To Be Murdered By,2,Unaccommodating,2020-01-17
get the plunger  plunger   cause marshall and m a go plum crazy,5,Music To Be Murdered By,2,Unaccommodating,2020-01-17
call us liquid plumber   cause even dre know  dre know ,6,Music To Be Murdered By,2,Unaccommodating,2020-01-17
beat knocks like a beefed up detox,7,Music To Be Murdered By,2,Unaccommodating,2020-01-17
you are going to need three squads of police officers at least to come pull me off of it and i do not stop,8,Music To Be Murdered By,2,Unaccommodating,2020-01-17
please  dawg  i need you all to keep talking shit  cause i feed off of it,9,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i am the complete opposite of these retards who spit these weak bars  i ama leave carnage,10,Music To Be Murdered By,2,Unaccommodating,2020-01-17
each thought will be so toxic  it will block the wind through your esophagus,11,Music To Be Murdered By,2,Unaccommodating,2020-01-17
stop it  cutting off your oxygen,12,Music To Be Murdered By,2,Unaccommodating,2020-01-17
and i hit them pads like a boxing gym,13,Music To Be Murdered By,2,Unaccommodating,2020-01-17
better watch for slim  better get to popping and when i am at the top again,14,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i will not topple  i am giving it to anyone who want to come and get it and i am not going to stop,15,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but when they ask me is the war finished with mgk  of course it is,16,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i cleansed him of his mortal sins  i am god and the lord forgives even the devil worshippers,17,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i am moving on but you know your scruples are gone when you are born with lucifer horns,18,Music To Be Murdered By,2,Unaccommodating,2020-01-17
and you are from the school of notorious  puba  cube and the poor righteous teachers tutored my students,19,Music To Be Murdered By,2,Unaccommodating,2020-01-17
showed them all the blueprint and formula,20,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but it seems like the more they studied my music  the more they remind me of eyeballs,21,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i am watching my pupils get cornier  uh ,22,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but i am contemplating yelling  bombs away  on the game,23,Music To Be Murdered By,2,Unaccommodating,2020-01-17
like i am outside of an ariana grande concert waiting,24,Music To Be Murdered By,2,Unaccommodating,2020-01-17
they call me saddam hussein  ayatollah khomeini,25,Music To Be Murdered By,2,Unaccommodating,2020-01-17
where osama been  i been laden lately,26,Music To Be Murdered By,2,Unaccommodating,2020-01-17
look at how i am behaving  they want me gone away,27,Music To Be Murdered By,2,Unaccommodating,2020-01-17
they want to jonben t me  fuck you   i am unaccommodating,28,Music To Be Murdered By,2,Unaccommodating,2020-01-17
man  i do not see why they hate me  huh  ,29,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i am a clown like john wayne gacy  what  ,30,Music To Be Murdered By,2,Unaccommodating,2020-01-17
they call me kanye crazy  yah ,31,Music To Be Murdered By,2,Unaccommodating,2020-01-17
apeshit  beyonce  jay z  woo ,32,Music To Be Murdered By,2,Unaccommodating,2020-01-17
and i am back with andre  baby  yeah ,33,Music To Be Murdered By,2,Unaccommodating,2020-01-17
and the doctor operating  what  ,34,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but he never put no scrubs on from snoop  k  dot to shady,35,Music To Be Murdered By,2,Unaccommodating,2020-01-17
shady like a shadow or your silhouette  intellect  i better check to see why you feel upset,36,Music To Be Murdered By,2,Unaccommodating,2020-01-17
 cause i met your bitch on the internet now i am getting head like a pillow pet,37,Music To Be Murdered By,2,Unaccommodating,2020-01-17
that bimbo can put her lips all the way around this bone and then blow,38,Music To Be Murdered By,2,Unaccommodating,2020-01-17
like a dusty cartridge from an old nintendo,39,Music To Be Murdered By,2,Unaccommodating,2020-01-17
those were the days but i bet you  i am never going to be broke again  no,40,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i do not smoke but i got paper  to be blunt  i am rolling indo,41,Music To Be Murdered By,2,Unaccommodating,2020-01-17
and i keep it one comma  zero  zero  zero  zero,42,Music To Be Murdered By,2,Unaccommodating,2020-01-17
real  real  real  murder  murder  murder  kill  kill  kill,43,Music To Be Murdered By,2,Unaccommodating,2020-01-17
nickel plated  twenty two  two  two,44,Music To Be Murdered By,2,Unaccommodating,2020-01-17
bitch  shut the fuck up  fore i shoot you too,45,Music To Be Murdered By,2,Unaccommodating,2020-01-17
aint shit i will not do just to get a few youtube views,46,Music To Be Murdered By,2,Unaccommodating,2020-01-17
run up in a church like pew  pew  pew,47,Music To Be Murdered By,2,Unaccommodating,2020-01-17
 cause that what i do  do  do,48,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but  even to the untrained human eye,49,Music To Be Murdered By,2,Unaccommodating,2020-01-17
we aint the same  you and i,50,Music To Be Murdered By,2,Unaccommodating,2020-01-17
somebody should have explained to you why,51,Music To Be Murdered By,2,Unaccommodating,2020-01-17
for you to go against me  it simply insane  you will die  yeah ,52,Music To Be Murdered By,2,Unaccommodating,2020-01-17
that why they call me kamikaze  it plain suicide  yeah,53,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but i know magic and here go my last trick,54,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i am  bout to say  abracadabra  and pull a b rabbit up out of my hat,55,Music To Be Murdered By,2,Unaccommodating,2020-01-17
i am about to relapse and i betcha that you will not know how to react,56,Music To Be Murdered By,2,Unaccommodating,2020-01-17
but a look of disgust  i do not doubt it would be that,57,Music To Be Murdered By,2,Unaccommodating,2020-01-17
as i begin to fucking  devour the track,58,Music To Be Murdered By,2,Unaccommodating,2020-01-17
and you backpedal  that is a cowardly act,59,Music To Be Murdered By,2,Unaccommodating,2020-01-17
like a saudi attack when the towers collapsed,60,Music To Be Murdered By,2,Unaccommodating,2020-01-17
they call me saddam hussein  ayatollah khomeini,61,Music To Be Murdered By,2,Unaccommodating,2020-01-17
where osama been  i been laden lately,62,Music To Be Murdered By,2,Unaccommodating,2020-01-17
look at how i am behaving  they want me gone away,63,Music To Be Murdered By,2,Unaccommodating,2020-01-17
they want to jonben t me  fuck you   i am unaccommodating,64,Music To Be Murdered By,2,Unaccommodating,2020-01-17
never sold dope for no gold rope,1,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
wanted one though  they were so dope  yeah ,2,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
was a have not  yeah   cause my pockets  uh ,3,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
did not have knots  i was so broke,4,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
on my last rock  for my slingshot,5,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
better haul ass  do not be no slow poke  nope ,6,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
through the tall grass  run your ass off  yeah ,7,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
oh no  got your pants caught on the fence post,8,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
getting chased  by them jackboys  think it  bout to fuzz,9,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
like a lint roller they wait  til it late  they will tiptoe,10,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
through your living room window,11,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
take your nintendo and then skate,12,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
making you feel like you got bent over and raped,13,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
little boy  you are never going to get no rope chain,14,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
get your shit stole  and your lip swole  i became bitter,15,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
as i got a little bit older  my hate,16,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
was making me get cold  and began to get a chipped shoulder,17,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
started to spit vulgar  my zip code had been skid row,18,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
but i ate every single beat that i spit over  the shithole i escaped,19,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
then i began to explode  detonate  now the eastside went schizo,20,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
thought my name was b side  cause they flipped over my tape,21,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
and i will not hesitate,22,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
to get them all bent so outta shape,23,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
oh shit  bro  hold up  wait,24,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i just tripped over my cape  superman ,25,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
and i am not going to let up  treat the paper like i am chopping a letter,26,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
dre will tell you how i shred,27,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
so when you refer to the guy next to the doc  you meant shredder,28,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
now the cops want to set up roadblocks on my head  i,29,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
got several bounties from feds in every county,30,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i am with a gal at a checkers wiling,31,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
bumping  fuck da police  while i fed her rally,32,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
this shit is like romper room,33,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
why do i feel responsible for these kids ,34,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
all of whom i am a father to,35,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i am a god to you  you all better worship the water i walk on,36,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
or you all going to meet your waterloo,37,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i get to flipping  the mic  as a murder weapon,38,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i am popping  an extra clip  then cock and shoot  then i am popping,39,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
do not let me catch you slippin ,40,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i will pop up and i will take a spot from you,41,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i will get to doing what a leaky faucet do,42,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
but i aint talking  drip when i say that i will get the drop on you,43,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
singing  fuck all of you in autotune,44,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i am too volatile and too grizzly to bear,45,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
yeah  shit is getting  to where i can barely even sit in a chair,46,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
i bust my ass for this shit and i swear,47,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
it aint even worth dissing someone so offbeat,48,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
that they cannot even figure out where their words,49,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
should hit the kick and the snare,50,Music To Be Murdered By,3,You Gon’ Learn,2020-01-17
how do you do  ladies and gentlemen,1,Music To Be Murdered By,4,Alfred (Interlude),2020-01-17
my name is alfred hitchcock and this is music to be murdered by,2,Music To Be Murdered By,4,Alfred (Interlude),2020-01-17
it is mood music in a jugular vein,3,Music To Be Murdered By,4,Alfred (Interlude),2020-01-17
so why do not you relax  lean back and enjoy yourself,4,Music To Be Murdered By,4,Alfred (Interlude),2020-01-17
until the coroner comes,5,Music To Be Murdered By,4,Alfred (Interlude),2020-01-17
yes  this beat s taking  me back to my d12 days,1,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
when we hit the club to go and hell raise,2,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
probably end up bagging  the cocktail waitress,3,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
and takin  her straight back to the motel 8,4,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
yeah  bizarre tryna get a lap dance,5,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
off a xanax and jack dan   ayo ,6,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
stripper walk by  i am like  goddamn ,7,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
she like  that harassment   i am like  yeah  and    woo ,8,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
holy toledo  it miss ohio,9,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
that s the best ass i ve seen in a while,10,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
we should be datin   she s from cleveland,11,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
but she a bengal  this chick is catty,12,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
is that a mini skirt if it a maxi ,13,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
that the shortest thing for a dress since an addy  since an addy ,14,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
she said  fuck off  and threw her liquor at me,15,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
it s one of those kinda nights,16,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
then i said  i said,17,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
this beat keeps taking  me back like my ex does,18,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
only  cause how good the sex was,19,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
hit up the next club  met alexa,20,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
but she was so extra  called her etcetera,21,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
had her like   oh my god,22,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
my whole ipod filled with your songs  i mow my lawn to them ,23,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
i said   oh my god  you know my songs ,24,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
that totally awesome  i am marshall  what going  on  ah  haha ,25,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
seriously though  jokes aside  how you doin   you straight  ,26,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
she said   no  i am bi ,27,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
she said   are you drunk    i said   no  i am high,28,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
i am checking  out the chick   she said   so am i ,29,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
 what in the cup  let me see that,30,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
girl  where the rest of that promethazine at  ,31,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
she said   cool  gotta run out to my cadillac though,32,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
and i will be like fat joe  and bring the lean back ,33,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
then i said,34,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
omg,35,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
like the gas in the tank  she getting  low on me,36,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
said she wants to go with me,37,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
i said   go with you where   she said   out ,38,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
i said   i am a candle  i will go out if you blow on me ,39,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
walk her out to the parking  lot  here comes the brigade,40,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
turn like a flip page  swifty look shitfaced,41,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
say peace to mcvay and me and this chick take off like a sick day,42,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
driving  around  i said   let pull over   she said   no problemo,43,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
windows are dark tint  roll up the car windows ,44,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
monte carlo in park  bumping  bizarre demo,45,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
getting  head in the bucket  marshmello,46,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
yeah  i never in the club met a woman worth knowin ,47,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
but if you are ho in,48,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
opposites attract  i am someone  you are a no one,49,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
i am high and you are bi  i am comin   you are goin ,50,Music To Be Murdered By,5,Those Kinda Nights,2020-01-17
 this could never work   is what we said at first,1,Music To Be Murdered By,6,In Too Deep,2020-01-17
but whatever this is  it working,2,Music To Be Murdered By,6,In Too Deep,2020-01-17
but we are in two different worlds and  yeah ,3,Music To Be Murdered By,6,In Too Deep,2020-01-17
i am not your husband  nah   you aint my girlfriend,4,Music To Be Murdered By,6,In Too Deep,2020-01-17
all i know is that  what  ,5,Music To Be Murdered By,6,In Too Deep,2020-01-17
when i am with you  i am a different person  yeah,6,Music To Be Murdered By,6,In Too Deep,2020-01-17
and i aint never met a chick as perfect,7,Music To Be Murdered By,6,In Too Deep,2020-01-17
girl  you are a ten  so here i am  yeah ,8,Music To Be Murdered By,6,In Too Deep,2020-01-17
laying here with her again,9,Music To Be Murdered By,6,In Too Deep,2020-01-17
thinking  bout you,10,Music To Be Murdered By,6,In Too Deep,2020-01-17
she asleep  you are texting me around two,11,Music To Be Murdered By,6,In Too Deep,2020-01-17
crying face emoji  you say   this is me without you ,12,Music To Be Murdered By,6,In Too Deep,2020-01-17
we are sneaking out to meet at cheap hotel rooms or,13,Music To Be Murdered By,6,In Too Deep,2020-01-17
sex in the car  then i will text you tomorrow,14,Music To Be Murdered By,6,In Too Deep,2020-01-17
do i question it  nah  no objection at all,15,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause both of us are still involved  so,16,Music To Be Murdered By,6,In Too Deep,2020-01-17
as i am peeling  off  all i am thinking  bout is,17,Music To Be Murdered By,6,In Too Deep,2020-01-17
i am not happy here  nah   with her,18,Music To Be Murdered By,6,In Too Deep,2020-01-17
rather have you  yeah   rather have me too,19,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause you are not happy there  you are not happy there   with him,20,Music To Be Murdered By,6,In Too Deep,2020-01-17
rather have me  i know  but   we re just in too deep,21,Music To Be Murdered By,6,In Too Deep,2020-01-17
you are laying there with him  thinking  bout me,22,Music To Be Murdered By,6,In Too Deep,2020-01-17
he asleep  you say   let meet around three ,23,Music To Be Murdered By,6,In Too Deep,2020-01-17
you went to leave the house  he caught you sneaking out  now he freaking out,24,Music To Be Murdered By,6,In Too Deep,2020-01-17
you thought he was sleeping  soundly  woah,25,Music To Be Murdered By,6,In Too Deep,2020-01-17
you say you are going for a drive  you do not question him,26,Music To Be Murdered By,6,In Too Deep,2020-01-17
when he stumbles in  like   where the fuck you have been  ,27,Music To Be Murdered By,6,In Too Deep,2020-01-17
then you pump his ear with what he wants to hear,28,Music To Be Murdered By,6,In Too Deep,2020-01-17
tell him you love him  yeah  wipe each other tears,29,Music To Be Murdered By,6,In Too Deep,2020-01-17
but it been a couple years since we been doing  dirt,30,Music To Be Murdered By,6,In Too Deep,2020-01-17
you or my girl  do not want to see either of you get hurt,31,Music To Be Murdered By,6,In Too Deep,2020-01-17
but now the lines are getting super blurred,32,Music To Be Murdered By,6,In Too Deep,2020-01-17
cannot tell if i am cheating on her with you or cheating on you with her,33,Music To Be Murdered By,6,In Too Deep,2020-01-17
but really  nobody at fault  cannot help who you love,34,Music To Be Murdered By,6,In Too Deep,2020-01-17
hope they do not overhear us talk,35,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause we both are getting sloppy,36,Music To Be Murdered By,6,In Too Deep,2020-01-17
probably subconsciously part of me hoping we get caught  cause,37,Music To Be Murdered By,6,In Too Deep,2020-01-17
i am not happy here  nah   with her,38,Music To Be Murdered By,6,In Too Deep,2020-01-17
rather have you  yeah   rather have me too,39,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause you are not happy there  you are not happy there   with him,40,Music To Be Murdered By,6,In Too Deep,2020-01-17
rather have me  i know  but   we re just in too deep,41,Music To Be Murdered By,6,In Too Deep,2020-01-17
we are laying here with them  thinking  bout us,42,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause now when we get home  we get jealous,43,Music To Be Murdered By,6,In Too Deep,2020-01-17
of each other being someone else,44,Music To Be Murdered By,6,In Too Deep,2020-01-17
call us long john silver  cause we selfish,45,Music To Be Murdered By,6,In Too Deep,2020-01-17
but i just want to see ya,46,Music To Be Murdered By,6,In Too Deep,2020-01-17
do not care if it at the ritz or motel 6,47,Music To Be Murdered By,6,In Too Deep,2020-01-17
if i am there with ya  rich or poor,48,Music To Be Murdered By,6,In Too Deep,2020-01-17
when i am laying here with ya  it could be the kitchen floor,49,Music To Be Murdered By,6,In Too Deep,2020-01-17
i could stay in bed with ya staring  at ya  til the morn ,50,Music To Be Murdered By,6,In Too Deep,2020-01-17
i just want to be your secret lover  yeah,51,Music To Be Murdered By,6,In Too Deep,2020-01-17
i would rather share ya than to not have you at all,52,Music To Be Murdered By,6,In Too Deep,2020-01-17
so once a year or twice a month i am here if you want it,53,Music To Be Murdered By,6,In Too Deep,2020-01-17
yeah  i am open season,54,Music To Be Murdered By,6,In Too Deep,2020-01-17
and i am always game  so i keep it a hundred  dear  haha,55,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause we could never be each other everythings  you got a wedding ring,56,Music To Be Murdered By,6,In Too Deep,2020-01-17
so it him instead of me  but i will be your second string  now and forever because,57,Music To Be Murdered By,6,In Too Deep,2020-01-17
i am not happy here  nah   with her,58,Music To Be Murdered By,6,In Too Deep,2020-01-17
rather have you  yeah   rather have me too,59,Music To Be Murdered By,6,In Too Deep,2020-01-17
 cause you are not happy there  you are not happy there   with him,60,Music To Be Murdered By,6,In Too Deep,2020-01-17
